,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
325,PNB,EQ,31-08-2018,85.1,84.5,88.45,83.65,88,88.15,86.24,45793988,3949139627,94982,10887522,23.78,8,2018,121.8167372,0.035840188,Slight or no chnage
326,PNB,EQ,03-09-2018,88.15,88.3,89.3,86,86,86.35,88.05,30610408,2695345824,76964,4326268,14.13,9,2018,121.6802879,-0.020419739,Slight or no chnage
327,PNB,EQ,04-09-2018,86.35,86.4,86.85,82.85,83.3,83.15,84.72,25579702,2167003556,60666,5146043,20.12,9,2018,121.5568114,-0.037058483,Slight or no chnage
328,PNB,EQ,05-09-2018,83.15,83.2,83.85,81.4,83.15,83.1,82.66,21704587,1794074681,54937,2605713,12.01,9,2018,121.4525239,-0.000601323,Slight or no chnage
329,PNB,EQ,06-09-2018,83.1,84,84.7,82.85,83.2,83.25,83.61,25079939,2096853286,57788,4024839,16.05,9,2018,121.3331891,0.001805054,Slight or no chnage
330,PNB,EQ,07-09-2018,83.25,83.35,84.65,82.45,84.2,84.4,83.76,19594125,1641166883,45308,2695267,13.76,9,2018,121.243274,0.013813814,Slight or no chnage
331,PNB,EQ,10-09-2018,84.4,83.75,85,82,82.7,82.7,83.44,21243030,1772518181,59945,2811242,13.23,9,2018,121.1418103,-0.02014218,Slight or no chnage
332,PNB,EQ,11-09-2018,82.7,83.8,84.5,81.4,81.6,81.7,83.28,27909748,2324184295,61634,3616098,12.96,9,2018,121.0058668,-0.012091898,Slight or no chnage
333,PNB,EQ,12-09-2018,81.7,81.8,82.35,79.2,81,81.15,80.7,35789023,2888196060,88777,6213802,17.36,9,2018,120.8304898,-0.006731946,Slight or no chnage
334,PNB,EQ,14-09-2018,81.15,82.7,83.3,82.05,82.9,82.8,82.6,20505103,1693660137,50441,2667048,13.01,9,2018,120.7348517,0.020332717,Slight or no chnage
335,PNB,EQ,17-09-2018,82.8,82.4,84.05,81,82.9,83,82.57,26030699,2149243993,66176,2868065,11.02,9,2018,120.6147687,0.002415459,Slight or no chnage
336,PNB,EQ,18-09-2018,83,82.2,82.6,78.6,79.35,79.3,80.37,37211584,2990514361,78826,6813675,18.31,9,2018,120.4276725,-0.044578313,Slight or no chnage
337,PNB,EQ,19-09-2018,79.3,79.5,80.75,78.7,79.25,79.25,79.84,24270870,1937852725,54203,2073032,8.54,9,2018,120.306404,-0.000630517,Slight or no chnage
338,PNB,EQ,21-09-2018,79.25,79.55,80.35,67.4,73.2,72.85,75.03,50163352,3763644461,111043,9206243,18.35,9,2018,120.0192951,-0.080757098,Slight or no chnage
339,PNB,EQ,24-09-2018,72.85,74,74.4,68.65,68.8,69.2,70.61,37491629,2647152840,98995,8503213,22.68,9,2018,119.790541,-0.050102951,Slight or no chnage
340,PNB,EQ,25-09-2018,69.2,69.15,69.65,63.65,67.45,66.95,66.94,58214340,3896995266,133168,11740261,20.17,9,2018,119.423784,-0.032514451,Slight or no chnage
341,PNB,EQ,26-09-2018,66.95,68.15,69.2,66.25,66.9,67.05,67.52,43152887,2913668674,97525,6678426,15.48,9,2018,119.1556968,0.001493652,Slight or no chnage
342,PNB,EQ,27-09-2018,67.05,67.7,67.7,61.25,61.85,62.5,64.64,47047470,3041171566,120036,18391128,39.09,9,2018,118.841273,-0.067859806,Slight or no chnage
343,PNB,EQ,28-09-2018,62.5,62.55,63.4,58.45,59.75,59.7,60.73,68264539,4145592478,158537,12379718,18.13,9,2018,118.3688423,-0.0448,Slight or no chnage
344,PNB,EQ,01-10-2018,59.7,60,63.55,58.55,63.3,63.2,61.29,39640035,2429408454,96377,6114470,15.42,10,2018,118.114118,0.058626466,Slight or no chnage
345,PNB,EQ,03-10-2018,63.2,63.8,66.35,62.7,64.4,64.65,64.86,42231670,2739335283,103608,6306568,14.93,10,2018,117.852413,0.022943038,Slight or no chnage
346,PNB,EQ,04-10-2018,64.65,63.15,65.5,62.85,64.5,64.8,64.54,32208001,2078747423,75755,3753084,11.65,10,2018,117.6550972,0.002320186,Slight or no chnage
347,PNB,EQ,05-10-2018,64.8,65,66.35,63,63.25,63.85,64.78,31872123,2064824703,80788,4176873,13.11,10,2018,117.4577949,-0.014660494,Slight or no chnage
348,PNB,EQ,08-10-2018,63.85,64,64.6,61.1,62.7,62.85,63.24,29733364,1880355176,64550,3402988,11.45,10,2018,117.2716235,-0.015661707,Slight or no chnage
349,PNB,EQ,09-10-2018,62.85,63.45,63.9,61.5,62.8,62.65,62.67,24773210,1552469763,53109,1655065,6.68,10,2018,117.1169095,-0.00318218,Slight or no chnage
350,PNB,EQ,10-10-2018,62.65,62.8,66.95,62.3,66.5,66.3,64.82,30162010,1955133958,68958,5640187,18.7,10,2018,116.9422646,0.058260176,Slight or no chnage
351,PNB,EQ,11-10-2018,66.3,64,66,63.1,64.35,64.3,64.43,27655306,1781825602,60582,5379337,19.45,10,2018,116.7769032,-0.030165913,Slight or no chnage
352,PNB,EQ,12-10-2018,64.3,65.1,67.65,65.05,66.5,66.5,66.61,22188888,1477947036,52869,4875478,21.97,10,2018,116.6505076,0.034214619,Slight or no chnage
353,PNB,EQ,15-10-2018,66.5,67,67.95,65.35,67.55,67.55,67.11,21390663,1435486503,52876,4223244,19.74,10,2018,116.5317977,0.015789474,Slight or no chnage
354,PNB,EQ,16-10-2018,67.55,68.2,70.35,67.85,69.9,69.95,69.19,21972857,1520290714,56211,3370186,15.34,10,2018,116.4163986,0.035529238,Slight or no chnage
355,PNB,EQ,17-10-2018,69.95,71,71.15,66.1,66.3,66.5,68.5,24801387,1698975153,56621,5123946,20.66,10,2018,116.2772093,-0.049320944,Slight or no chnage
356,PNB,EQ,19-10-2018,66.5,66.2,67.4,65.25,66.15,66,66.39,18158920,1205518603,48163,2207272,12.16,10,2018,116.1747711,-0.007518797,Slight or no chnage
357,PNB,EQ,22-10-2018,66,66.9,67.45,65.4,65.8,65.7,66.41,16020570,1063935181,42701,1788997,11.17,10,2018,116.0842034,-0.004545455,Slight or no chnage
358,PNB,EQ,23-10-2018,65.7,65.45,66.25,63.85,65.15,64.75,64.97,16070344,1044078728,40061,2176375,13.54,10,2018,115.9919734,-0.014459665,Slight or no chnage
359,PNB,EQ,24-10-2018,64.75,65.8,66.35,64.6,66.3,65.8,65.36,17199693,1124229069,45278,3097894,18.01,10,2018,115.8956436,0.016216216,Slight or no chnage
360,PNB,EQ,25-10-2018,65.8,65.2,66.7,65,65.75,65.65,65.77,23250113,1529220818,65413,5552009,23.88,10,2018,115.7656255,-0.002279635,Slight or no chnage
361,PNB,EQ,26-10-2018,65.65,66,67.25,65.25,66.3,66.15,66.27,20915568,1386047534,49296,3152893,15.07,10,2018,115.6503973,0.007616146,Slight or no chnage
362,PNB,EQ,29-10-2018,66.15,66.85,71.8,65.6,70.75,70.9,69.59,36931154,2569956580,84576,6938666,18.79,10,2018,115.4676364,0.0718065,Slight or no chnage
363,PNB,EQ,30-10-2018,70.9,71,75.25,70.75,72.85,72.55,73.17,43626784,3191978432,99222,4671163,10.71,10,2018,115.2615772,0.023272214,Slight or no chnage
364,PNB,EQ,31-10-2018,72.55,73.8,74.25,71.7,73.6,73.65,73.12,28632204,2093559418,64732,3641425,12.72,10,2018,115.1308681,0.015161957,Slight or no chnage
365,PNB,EQ,01-11-2018,73.65,74.4,75,73.2,74.3,74.3,74.13,21269555,1576614116,49091,2710980,12.75,11,2018,115.0358138,0.008825526,Slight or no chnage
366,PNB,EQ,02-11-2018,74.3,74.95,78.7,68.05,68.95,69.05,72.83,91979581,6699194944,227254,14168787,15.4,11,2018,114.5774719,-0.070659489,Slight or no chnage
